,UID,CardTier,Name,Team,Element,Element2,Element3,Element4,Position,Position5,Monster,Monster Type,Wound,Speed,Catch,Carry,Elusiveness,Tackle,PassBlock,RunBlock,Impact,Impact6,Special Attack Name,Special Attack Description,Special Attack Element,Special Attack Type,Special Attack Stat,Special Attack Stat Value,Special Attack Stat Value Type,Special Attack Trigger,Immunity Name,Immunity Element
11,HE1DL0011,1,Ice Magnus,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Killer Abyssal Warrior,Med2,30,4,0.5,0.6,0.03,0.09,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
12,HE1DB0012,1,Rebel Tank,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DB,Speedy Shadow,Fast2,20,3,0.55,0.75,0.03,0.03,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
13,HE1DB0013,1,Riptide Drake,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DB,Speedy Shadow,Fast2,20,3,0.55,0.75,0.03,0.03,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
14,HE2RB0014,2,Chaos Boon,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,RB,Killer Abyssal Warrior,Med2,40,5,0.6,0.62,0.04,0.12,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
15,HE2OL0015,2,Arcane Chronos,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Massive Hellion,Big2,50,6,0.5,0.02,0.02,0.04,0.08,0.11,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
16,HE2OL0016,2,Thunder Hooch,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Killer Abyssal Warrior,Med2,40,5,0.6,0.62,0.04,0.12,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
17,HE2OL0017,2,Merlin Thor,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Killer Abyssal Warrior,Med2,40,5,0.6,0.62,0.04,0.12,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
18,HE2R0018,2,Hyde Lightning,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,R,Speedy Shadow,Fast2,30,4,0.65,0.77,0.04,0.06,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
19,HE2R0019,2,Scandal Menace,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,R,Speedy Shadow,Fast2,30,4,0.65,0.77,0.04,0.06,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
20,HE2S0020,2,Hades Odin,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,S,Killer Abyssal Warrior,Med2,40,5,0.6,0.62,0.04,0.12,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
21,HE2S0021,2,Bullet Rags,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,S,Killer Abyssal Warrior,Med2,40,5,0.6,0.62,0.04,0.12,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
22,HE2DL0022,2,Doom Aiyana,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Massive Hellion,Big2,50,6,0.5,0.02,0.02,0.04,0.08,0.11,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
23,HE2DL0023,2,Gunner Duke,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Killer Abyssal Warrior,Med2,40,5,0.6,0.62,0.04,0.12,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
24,HE2DL0024,2,Hector Destiny,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Killer Abyssal Warrior,Med2,40,5,0.6,0.62,0.04,0.12,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
25,HE2DB0025,2,Steele Nymph,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DB,Speedy Shadow,Fast2,30,4,0.65,0.77,0.04,0.06,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
26,HE2DB0026,2,Torment Dot,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DB,Speedy Shadow,Fast2,30,4,0.65,0.77,0.04,0.06,0.06,0.03,0.02,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
27,HE3RB0027,3,Whisper Atilla,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,RB,Killer Abyssal Warrior,Med2,50,6,0.7,0.64,0.05,0.15,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
28,HE3OL0028,3,Hannibal Phantom,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Massive Hellion,Big2,60,7,0.6,0.04,0.03,0.07,0.1,0.12,0.05,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
29,HE3OL0029,3,Thunder Blitz,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Killer Abyssal Warrior,Med2,50,6,0.7,0.64,0.05,0.15,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
30,HE3OL0030,3,Blight Midnight,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Killer Abyssal Warrior,Med2,50,6,0.7,0.64,0.05,0.15,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
31,HE3R0031,3,Storm Justice,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,R,Speedy Shadow,Fast2,40,5,0.75,0.79,0.05,0.09,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
32,HE3R0032,3,Myst Maxima,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,R,Speedy Shadow,Fast2,40,5,0.75,0.79,0.05,0.09,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
33,HE3S0033,3,Courage Nova,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,S,Killer Abyssal Warrior,Med2,50,6,0.7,0.64,0.05,0.15,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
34,HE3S0034,3,Hawkeye Luna,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,S,Killer Abyssal Warrior,Med2,50,6,0.7,0.64,0.05,0.15,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
35,HE3DL0035,3,Archer Blitzen,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Massive Hellion,Big2,60,7,0.6,0.04,0.03,0.07,0.1,0.12,0.05,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
36,HE3DL0036,3,Chaos Myth,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Killer Abyssal Warrior,Med2,50,6,0.7,0.64,0.05,0.15,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
37,HE3DL0037,3,Vlad Shadow,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Killer Abyssal Warrior,Med2,50,6,0.7,0.64,0.05,0.15,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
38,HE3DB0038,3,Ajax Lotus,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DB,Speedy Shadow,Fast2,40,5,0.75,0.79,0.05,0.09,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
39,HE3DB0039,3,Sniper June,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DB,Speedy Shadow,Fast2,40,5,0.75,0.79,0.05,0.09,0.08,0.04,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
40,HE1QB0040,1,Rock Mason,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,QB,Rock Mason,QB,50,4,0.15,0.1,0.01,0.05,0.01,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
41,HE4RB0046,4,Ash Atilla,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,RB,Killer Abyssal Warrior,Med2,60,7,0.8,0.66,0.06,0.18,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
42,HE4OL0047,4,Hannibal Laika,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Massive Hellion,Big2,70,8,0.7,0.06,0.04,0.1,0.12,0.13,0.06,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
43,HE4OL0048,4,Lecter Mercy,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Killer Abyssal Warrior,Med2,60,7,0.8,0.66,0.06,0.18,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
44,HE4OL0049,4,Wrath Helen,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Killer Abyssal Warrior,Med2,60,7,0.8,0.66,0.06,0.18,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
45,HE4R0050,4,Bullet Acadia,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,R,Speedy Shadow,Fast2,50,6,0.85,0.81,0.06,0.12,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
46,HE4R0051,4,Sky Diva,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,R,Speedy Shadow,Fast2,50,6,0.85,0.81,0.06,0.12,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
47,HE4S0052,4,Sabath Codex,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,S,Killer Abyssal Warrior,Med2,60,7,0.8,0.66,0.06,0.18,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
48,HE4S0053,4,Bandit Bo,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,S,Killer Abyssal Warrior,Med2,60,7,0.8,0.66,0.06,0.18,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
49,HE4DL0054,4,Orion Ares,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Massive Hellion,Big2,70,8,0.7,0.06,0.04,0.1,0.12,0.13,0.06,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
50,HE4DL0055,4,Brawn Alaska,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Killer Abyssal Warrior,Med2,60,7,0.8,0.66,0.06,0.18,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
51,HE4DL0056,4,Hero Onyxia,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Killer Abyssal Warrior,Med2,60,7,0.8,0.66,0.06,0.18,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
52,HE4DB0057,4,Blaze Precious,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DB,Speedy Shadow,Fast2,50,6,0.85,0.81,0.06,0.12,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
53,HE4DB0058,4,Hooch Blossom,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DB,Speedy Shadow,Fast2,50,6,0.85,0.81,0.06,0.12,0.1,0.05,0.04,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
54,HE5RB0059,5,Hector Shadow,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,RB,Killer Abyssal Warrior,Med2,70,8,0.9,0.68,0.07,0.21,0.12,0.06,0.05,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
